Country,R,G,B
Afghanistan,0.3137255012989044,0.48627451062202454,0.572549045085907
Albania,0.3019607961177826,0.14509804546833038,0.18039216101169586
Algeria,0.2705882489681244,0.34117648005485535,0.3450980484485626
Andorra,0.16862745583057404,0.0784313753247261,0.0941176488995552
Angola,0.11372549086809158,0.16470588743686676,0.1725490242242813
Antigua and Barbuda,0.239215686917305,0.29019609093666077,0.3294117748737335
Argentina,0.125490203499794,0.16470588743686676,0.21960784494876862
Armenia,0.3607843220233917,0.4470588266849518,0.5137255191802979
Australia,0.10980392247438431,0.1882352977991104,0.34117648005485535
Austria,0.5137255191802979,0.12941177189350128,0.250980406999588
Azerbaijan,0.1568627506494522,0.3137255012989044,0.24313725531101227
Bahamas,0.06666667014360428,0.125490203499794,0.23529411852359772
Bahrain,0.6627451181411743,0.15294118225574493,0.20392157137393951
Bangladesh,0.11764705926179886,0.27450981736183167,0.25882354378700256
Barbados,0.11764705926179886,0.48235294222831726,0.7686274647712708
Belarus,0.10588235408067703,0.239215686917305,0.41960784792900085
Belgium,0.3725,0.1755,0.2878
Belize,0.13333334028720856,0.2666666805744171,0.43921568989753723
Benin,0.2549019753932953,0.4117647111415863,0.6980392336845398
Bhutan,0.3764705955982208,0.3529411852359772,0.33725491166114807
Bolivia,0.3294117748737335,0.06666667014360428,0.062745101749897
Bosnia and Herzegovina,0.12941177189350128,0.14705882966518402,0.1921568661928177
Botswana,0.10588235408067703,0.18431372940540314,0.3607843220233917
Brazil,0.16862745583057404,0.2666666805744171,0.3294117748737335
Brunei,0.6274510025978088,0.11372549086809158,0.13725490868091583
Bulgaria,0.38823530077934265,0.2078431397676468,0.2705882489681244
Burkina Faso,0.1725490242242813,0.29019609093666077,0.15294118225574493
Burundi,0.2980392277240753,0.2980392277240753,0.34117648005485535
Cambodia,0.4470588266849518,0.32549020648002625,0.40392157435417175
Cameroon,0.38823530077934265,0.45490196347236633,0.4941176474094391
Canada,0.30588236451148987,0.3960784375667572,0.4745098054409027
Cape Verde,0.14901961386203766,0.1921568661928177,0.3019607961177826
Central African Republic,0.30980393290519714,0.32156863808631897,0.32549020648002625
Chad,0.2862745225429535,0.35686275362968445,0.3843137323856354
Chile,0.3137255012989044,0.0,0.03921568766236305
China,0.2705882489681244,0.08627451211214066,0.16862745583057404
Colombia,0.4117647111415863,0.2078431397676468,0.21568627655506134
Comoros,0.2901,0.2470,0.2078
Congo,0.15294118225574493,0.21960784494876862,0.250980406999588
Congo (Dem. Rep.),0.11372549086809158,0.1411764770746231,0.1882352977991104
Costa Rica,0.08627451211214066,0.13725490868091583,0.16470588743686676
Cote d'Ivoire (Ivory Coast),0.07450980693101883,0.2235294133424759,0.12156862765550613
Croatia,0.32549020648002625,0.32549020648002625,0.3490196168422699
Cuba,0.13333334028720856,0.21960784494876862,0.4117647111415863
Cyprus,0.6039215922355652,0.18431372940540314,0.35686275362968445
Czech Republic,0.4019607901573181,0.2980392277240753,0.45098039507865906
Denmark,0.37254902720451355,0.13333334028720856,0.21960784494876862
Djibouti,0.11764705926179886,0.2823529541492462,0.6039215922355652
Dominica,0.16470588743686676,0.1764705926179886,0.18039216101169586
Dominican Republic,0.125490203499794,0.125490203499794,0.12156862765550613
Ecuador,0.3019607961177826,0.1509803980588913,0.16078431904315948
Egypt,0.16862745583057404,0.24313725531101227,0.2549019753932953
El Salvador,0.2235294133424759,0.2235294133424759,0.32156863808631897
Equatorial Guinea,0.4313725531101227,0.2078431397676468,0.16470588743686676
Eritrea,0.37254902720451355,0.35686275362968445,0.5058823823928833
Estonia,0.5372549295425415,0.20000000298023224,0.3137255012989044
Eswatini,0.1882352977991104,0.2078431397676468,0.4117647111415863
Ethiopia,0.5215686559677124,0.3333333432674408,0.47843137383461
Fiji,0.062745101749897,0.5686274766921997,0.7333333492279053
Finland,0.45098039507865906,0.05882352963089943,0.19607843458652496
France,0.32549020648002625,0.08235294371843338,0.19607843458652496
Gabon,0.1921568661928177,0.3450980484485626,0.3490196168422699
Gambia,0.5803921818733215,0.6509804129600525,0.6000000238418579
